cotID,cotA,cotB,cotC,cotD,cotE,cotF,cotG,cotH,cotI,mota1,mota2,fdate,fromFile
D.5.4,Sầu riêng khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6,Xoài,0,1.9000000000000001,0.0,1.9000000000000001,10.31578947368421,15000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.1,Xoài cát Hòa Lộc,0,1.1,0.0,1.1,12.0,20000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.2,Xoài Đài Loan,0,0.8,0.0,0.8,8.0,10000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.3,Xoài Cát Chu,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.4,Xoài khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7,Ổi,0,8.65,0.0,8.65,17.803468208092486,10500.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7.1,Ổi lê,0,6.95,0.0,6.95,18.0,10000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7.2,Ổi Nữ Hoàng,0,1.7,0.0,1.7,17.0,11000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7.3,Ổi khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8,Nhãn,0,1.2000000000000002,0.4,0.8,12.000000000000002,23000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8.1,Nhãn IDOR,0,1.2000000000000002,0.4,0.8,12.0,23000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8.2,Nhãn tiêu da bò,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8.3,Nhãn khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.9,Chôm chôm,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.9.1,Chôm chôm Thái,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.9.2,Chôm chôm nhãn,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.9.3,Chôm chôm thường,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.9.4,Chôm chôm khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.10,Chuối,0,36.5,0.0,36.5,17.0,4000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.10.1,Chuối xiêm,0,36.5,0.0,36.5,17.0,4000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.10.2,Chuối già,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.10.3,Chuối khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.11,Khóm,0,4.699999999999999,1.9,2.8,15.000000000000002,10000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.11.1,Khóm Queen,0,4.699999999999999,1.9,2.8,15.0,10000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.11.2,Khóm Cayeen,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.11.3,Khóm MD2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.12,Dâu,0,5.78,0.0,5.78,18.0,13000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.13,Mãng cầu xiêm,0,2.42,0.0,2.42,18.0,12000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.14,Thanh long,0,0.8,0.0,0.8,17.0,14000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.15,Đu đủ,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.16,Mít,0,8.0,8.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.17,Mận,0,12.22,0.0,12.22,20.0,10000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.18,Măng cụt,0,10.05,0.0,10.05,26.0,29000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.19,Vú sữa,0,8.0,0.0,8.0,26.0,14000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.20,Cây ăn trái khác,0,159.02,20.0,139.02,8.0,8000.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.1,"Rau ăn lá các loại, bắp cải",0,0.0,0.0,129.0,8.0,129.0,8000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.2,Hành lá,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.3,Hẹ,0,0.0,0.0,39.0,11.0,39.0,11000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.4,Rau gia vị các loại,0,0.0,0.0,87.0,6.2,87.0,10000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.5,Gừng,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.6,Dưa hấu,0,0.0,0.0,177.24,23.0,177.24,5500.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.7,Dưa leo,0,0.0,0.0,39.0,25.0,39.0,9000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.8,Dưa lưới,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.9,Dưa lê,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.10,Khổ qua,0,0.0,0.0,42.0,27.0,42.0,13000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.11,"Bầu, bí, mướp",0,0.0,0.0,1.0,16.0,1.0,6000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.12,Ớt,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.13,Cà chua,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.14,Cà phổi,0,0.0,0.0,27.0,9.0,27.0,10000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.15,"Đậu đũa, cove",0,0.0,0.0,42.0,8.3,42.0,15000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.16,Đậu bắp,0,0.0,0.0,26.0,8.0,26.0,9000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.17,"Đậu xanh, đậu trắng, đậu đỏ",0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.18,Bắp,0,0.0,0.0,31.5,5.3,31.5,6000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.19,Bắp lai,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.20,Khoai lang,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.21,"Khoai ngọt, khoai môn",0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.22,Khoai từ,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.23,Khoai mì,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.24,Sương sáo,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.25,Trầu,0,0.0,0.0,3.26,0.0,3.26,5000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.26,Nấm rơm,0,0.0,0.0,66.0,1.3,66.0,50000.0,0,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
E.27,Cây rau khác,0,0.0,0.0,0.0,0.0,0.0,0.0,Cụ thể loại cây,Xã Vĩnh Thuận Đông,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
A.1,Lúa Đông Xuân,0,3585.0,185.0,3147.0,253.0,3585.0,7.8,5300,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
A.2,Lúa Hè Thu,0,3585.0,600.0,2625.0,360.0,3585.0,6.56,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
A.3,Lúa Thu Đông,0,142.0,33.0,109.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
B.1,Mía (ép lấy đường),0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
B.2,Mía (ép lấy nước giải khát),0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
C.1,Cây dừa,0,50.69,10.19,40.5,10.06,45000.0,0.0,Giá bán đồng/chục,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
C.2,Cây tiêu,0,0.0,0.0,0.0,0.0,0.0,0.0,Giá bán đồng/kg,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
C.3,Cây tràm,0,50.02,50.02,0.0,0.0,0.0,0.0,Giá bán đồng/ha,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.1,Bưởi,0,34.82,1.31,33.51,16.3,30000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.1.1,Bưởi da xanh,0,34.82,1.31,33.51,16.3,30000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.1.2,Bưởi 5 Roi,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.2,Quýt,0,12.83,0.0,12.83,14.3125,20000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.2.1,Quýt đường,0,12.83,0.0,12.83,14.3125,20000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.2.2,Quýt khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.3,Cam,0,8.829999999999998,0.2,8.629999999999999,16.125,10000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.3.1,Cam sành,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.3.2,Cam xoàn,0,8.829999999999998,0.2,8.629999999999999,16.125,10000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.3.3,Cam khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.3.4,Cam mật,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.4,"Chanh, hạnh",0,11.16,0.13,11.03,18.0,10000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.4.1,Chanh không hạt,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.4.2,Chanh khác,0,11.16,0.13,11.03,18.0,10000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.4.3,Cây hạnh (tắc),0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.5,Sầu riêng,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.5.1,Sầu riêng Ri 6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.5.2,Sầu riêng Monthong,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.5.3,Sầu riêng khổ qua,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.5.4,Sầu riêng khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6,Xoài,0,2.1,0.30000000000000004,1.8,6.75,7500.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.1,Xoài cát Hòa Lộc,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.2,Xoài Đài Loan,0,2.1,0.30000000000000004,1.8,6.75,7500.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.3,Xoài Cát Chu,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.6.4,Xoài khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7,Ổi,0,4.859999999999999,0.7,4.159999999999999,15.0,8000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7.1,Ổi lê,0,4.859999999999999,0.7,4.159999999999999,15.0,8000.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7.2,Ổi Nữ Hoàng,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.7.3,Ổi khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8,Nhãn,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8.1,Nhãn IDOR,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8.2,Nhãn tiêu da bò,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.8.3,Nhãn khác,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
D.9,Chôm chôm,0,0.0,0.0,0.0,0.0,0.0,0.0,0,Xã Xà Phiên,Huyện Long Mỹ,2020-10-25,190120211614PM-TDSX02_HuyenLongMy.xlsx
